,VIN,CALCULATEUR,TYPE_DEFAUT
142,VF1FL000370960603,NAV,DTC
143,VF1FL000370960603,BCM,DEFAUT
144,VF1FL000370960603,BCM,PAS REPONSE UCE
145,VF1FL000370960603,BCM,PAS REPONSE UCE
146,VF1FL000671117702,BCM,PAS REPONSE UCE
147,VF1FL000671117702,BCM,DEFAUT
148,VNVF4000571448800,RADIO,DTC
149,VNVF4000571448800,RADIO,DTC
150,VF1JL000871319936,BCM,ECLAIRAGE PLAFONNIER AV
151,VF1JL000871319936,BCM,ECLAIRAGE COFFRE
152,VNVF4000571448800,BCM,PEDALE EMBRAYAGE
153,VNVF4000571448800,ABS,DTC
154,VNVF4000571448800,ECM,PEDALE EMBRAYAGE NON RELACHE
155,VNVF4000571448800,METER,CONTROLER MINI LIQUIDE FREIN
156,VNVF4000571448800,ECM,PEDALE EMBRAYAGE NON RELACHE
157,VNVF4000571448800,BCM,DEMARRAGE INTERDIT
158,VNVF4000571448800,ABS,ETAT REMPLISSAGE NOK
159,VNVF4000571448800,METER,DTC
160,VNVJ4000571449049,UDM,ETAT REMPLISSAGE NOK
161,VNVJ4000571449049,UDM,ETAT REMPLISSAGE NOK
162,VNVJ4000571449049,UDM,ETAT REMPLISSAGE NOK
163,VNVJ4000571449049,UDM,ETAT REMPLISSAGE NOK
164,VNVJ4000571449049,UDM,ETAT REMPLISSAGE NOK
165,VNVJ4000571449049,UDM,ETAT REMPLISSAGE NOK
166,VNVJ4000571449049,HFM,TRANSPONDEUR
167,VNVJ4000571449049,HFM,VIN CLE
168,VNVJ4000571449049,HFM,TRANSPONDEUR
169,VNVJ4000571449049,HFM,TRANSPONDEUR
170,VNVJ4000571449049,HFM,TRANSPONDEUR
171,VNVJ4000571449049,HFM,TRANSPONDEUR
172,VNVJ4000571449049,HFM,TRANSPONDEUR
173,VNVJ4000571449049,HFM,TRANSPONDEUR
174,VNVJ4000571449049,HFM,PAIRING MODE (02)-APP DEJA EN COURS
175,VF6T8200071321647,FRRAD,DTC
176,VF6T8200071321647,FRRAD,DTC
177,VNVJ4000571449049,BCM,PORTE PSG
178,VNVJ4000571449049,BCM,DEFAUT
179,VNVJ4000571449049,BCM,ESSUIE-VITRE AV
180,VNVJ4000571449049,BCM,CLE NON RECONNUE
181,VNVJ4000571449049,HVAC,GMV HABITACLE
182,VNVJ4000571449049,BCM,LEVE-VITRE AV COND
183,VNVJ4000571449049,BCM,PORTE AR COND
184,VNVJ4000571449049,USM,ANTI-BROUILLARD AV
185,VNVJ4000571449049,SONAR,CAMERA AR
186,VNVJ4000571449049,BCM,DEFAUT
187,VNVJ4000571449049,BCM,PORTE PSG
188,VNVJ4000571449049,BCM,ESSUIE-VITRE AV
189,VNVJ4000571449049,BCM,LEVE-VITRE AV PSG
190,VNVJ4000571449049,USM,CAPTEUR ASSIETTE HORS PLAGE
191,VNVJ4000571449049,BCM,BADGE NON PRESENT
192,VNVJ4000571449049,ECM,BOUTON RV/LV SET/-
193,VNVJ4000571449049,USM,FEU CROISEMENT G
194,VNVJ4000571449049,BCM,DEFAUT
195,VNVJ4000571449049,BCM,LEVE-VITRE AV PSG
196,VNVJ4000571449049,BCM,PAS REPONSE UCE
197,VNVJ4000571449049,HVAC,CLIM MANUELLE ARRIERE
198,VNVJ4000571449049,ECM,BOUTON LV
199,VNVJ4000571449049,ECM,BOUTON RV/LV RES/+
200,VNVJ4000571449049,BCM,ECLAIRAGE PLAFONNIER AV
201,VNVJ4000571449049,BCM,BOUTON FEUX DETRESSE
202,VNVJ4000571449049,BCM,CONSUMP REVERS LIGHT
203,VNVJ4000571449049,NAV,SATELLITE RADIO
204,VNVJ4000571449049,HVAC,PRESSION GAZ CLIM
205,VNVJ4000571449049,BCM,PORTE AR PSG
206,VNVJ4000571449049,BCM,PORTE COND OUVERTE
207,VNVJ4000571449049,BCM,BOUTON STOP & START
208,VNVJ4000571449049,USM,FEUX ROUTE
209,VNVJ4000571449049,BCM,PORTE AR COND
210,VNVJ4000571449049,USM,FEU CROISEMENT D
211,VNVJ4000571449049,ECM,BOUTON RV
212,VNVJ4000571449049,BCM,BOUTON CPE
213,VNVJ4000571449049,ECM,BOUTON RV/LV 0
214,VNVJ4000571449049,BCM,DEFAUT
215,VNVJ4000571449049,ECM,PAS REPONSE UCE
216,VNVJ4000571449049,ECM,PAS REPONSE UCE
217,VNVJ4000571449049,BCM,BADGE NON CONFORME
218,VNVJ4000571449049,USM,LEVELIZER PAS A 0
219,VNVJ4000571449049,BCM,DEGIVRAGE LUNETTE AR
220,VNVJ4000571449049,HVAC,GMV HABITACLE
221,VNVJ4000571449049,HFM,PAS REPONSE UCE
222,VNVJ4000571449049,BCM,PORTE PSG FERMEE
223,VNVJ4000571449049,BCM,TEMOIN CEINTURE SECURITE
224,VNVJ4000571449049,USM,GMV 1
225,VNVJ4000571449049,BCM,PORTE COFFRE
226,VNVJ4000571449049,HVAC,CLIM MANUELLE ARRIERE
227,VNVJ4000571449049,ECM,PEDALE FREIN NON APPUYE
228,VNVJ4000571449049,BCM,PORTE AR PSG
229,VNVJ4000571449049,BCM,BOUTON ECO MODE
230,VNVJ4000571449049,BCM,RETROVISEUR PSG
231,VNVJ4000571449049,BCM,PORTE COND FERMEE
232,VNVJ4000571449049,ECM,PEDALE EMBRAYAGE NON APPUYE
233,VNVJ4000571449049,BCM,ANTI-BROUILLARD AV
234,VNVJ4000571449049,METER,BOUTON PUSH TO TALK
235,VNVJ4000571449049,BCM,PORTE COND FERMEE
236,VNVJ4000571449049,BCM,ESSUIE-VITRE AV
237,VNVJ4000571449049,BCM,PAS REPONSE UCE
238,VNVJ4000571449049,BCM,ECLAIRAGE PLAFONNIER AR
239,VNVJ4000571449049,BCM,RETROVISEUR RABATTABLE
240,VNVJ4000571449049,SONAR,DTC
241,VNVJ4000571449049,NAV,CALIBRATION
242,VNVJ4000571449049,USM,GMV 1
243,VNVJ4000571449049,HFM,WAC
244,VNVJ4000571449049,UDM,ETAT REMPLISSAGE NOK
245,VNVJ4000571449049,BCM,CONSUMP REVERS LIGHT
246,VNVJ4000571449049,BCM,REPETITEUR COND
247,VNVJ4000571449049,BCM,DEGIVRAGE LUNETTE AR
248,VNVJ4000571449049,BCM,LEVE-VITRE AV PSG
249,VNVJ4000571449049,BCM,PORTE COFFRE
250,VNVJ4000571449049,BCM,ANTI-BROUILLARD AR
251,VNVJ4000571449049,BCM,RETROVISEUR COND
252,VNVJ4000571449049,BCM,ESSUIE-VITRE AV
253,VNVJ4000571449049,BCM,ACTIVATION APPRENTISSAGE EV AV
254,VNVJ4000571449049,HFM,DTC
255,VNVJ4000571449049,BCM,LEVE-VITRE AV COND
256,VNVJ4000571449049,METER,RHEOSTAT ECLAIRAGE TABLEAU DE BORD
257,VNVJ4000571449049,HFM,PAS REPONSE UCE
258,VNVJ4000571449049,BCM,DEFAUT
259,VNVJ4000571449049,BCM,FEU POSITION AR & PLAQUE POLICE
260,VF1FL000271320439,BCM,PORTE COFFRE
261,VF1FL000271320439,BCM,PORTE COFFRE
262,VF1FL000271320439,BCM,PORTE COFFRE
263,VF1FL000271320439,ACU,CAPTEUR SIEGE PASSAGER AV
264,VF1FL000271320439,ACU,CAPTEUR CEINTURE SECURITE AV D
265,VF1FL000271320439,BCM,PORTE COFFRE
266,VF1JL000871432768,BCM,SIEGE CHAUFFANT AV PSG
267,VF1FL000771443847,HFM,TRANSPONDEUR
268,VF1FL000771443847,HFM,TRANSPONDEUR
269,VF1FL000771443847,HFM,TRANSPONDEUR
270,VF1FL000771443847,HFM,TRANSPONDEUR
271,VF1FL000771443847,HFM,TRANSPONDEUR
272,VF1FL000771443847,HFM,TRANSPONDEUR
273,VF1FL000771443847,HFM,TRANSPONDEUR
274,VF1FL000771443847,HFM,TRANSPONDEUR
275,VF1FL000771443847,HFM,NOMBRE CLE APPRIS
276,VF1FL000771443847,HFM,TRANSPONDEUR
277,VF1FL000771443847,HFM,TRANSPONDEUR
278,VF1FL000771443847,HFM,TRANSPONDEUR
279,VF1FL000771443847,HFM,TRANSPONDEUR
280,VF1FL000771443847,HFM,TRANSPONDEUR
281,VNVJ4000571449049,NAV,PAS REPONSE UCE
282,VNVJ4000571449049,NAV,DEFAUT
283,VNVJ4000571449049,BCM,DELIVERY MODE NIVEAU 1
284,VF6T8200071321647,FRRAD,DTC
285,VF1JL000471318850,HFM,PAS REPONSE UCE
286,VF1JL000471318850,BCM,DEFAUT
287,VF1JL000471318850,SONAR,DTC
288,VF1JL000471318850,USM,PAS REPONSE UCE
289,VF1JL000471318850,BCM,FEU STOP
290,VF1JL000471318850,EPS,DTC
291,VF1JL000471318850,SONAR,RESET UCE
292,VF1JL000471318850,BCM,APC NON COUPE
293,VF1JL000471318850,BCM,DEFAUT
294,VF1JL000471318850,HVAC,PRESSION GAZ CLIM
295,VF1JL000471318850,BCM,PORTE COND FERMEE
296,VF1JL000471318850,SONAR,DTC
297,VF1JL000471318850,ABS,PAS REPONSE UCE
298,VF1JL000471318850,AML,PAS REPONSE UCE
299,VF1JL000471318850,BCM,PAS REPONSE UCE
300,VF1JL000471318850,BCM,PEDALE FREIN
301,VF1JL000471318850,BCM,UCE NON CONFORME
302,VF1JL000471318850,NAV,PAS REPONSE UCE
303,VF1JL000471318850,BCM,DEFAUT
304,VF1JL000471318850,BCM,BOUTON ECO MODE
305,VF1JL000471318850,BCM,BADGE NON PRESENT
306,VF1JL000471318850,BCM,BOUTON CPE
307,VF1JL000471318850,SONAR,LED BOUTON HFP/AAP
308,VF1JL000471318850,SONAR,DTC
309,VF1JL000471318850,USM,CAPTEUR ASSIETTE HORS PLAGE
310,VF1JL000471318850,BCM,ANTI-BROUILLARD AR
311,VF1JL000471318850,BCM,DEFAUT
312,VF1JL000471318850,BCM,ACTIVATION APPRENTISSAGE EV AV
313,VF1JL000471318850,BCM,DEFAUT
314,VF1JL000471318850,SONAR,DTC
315,VF1JL000471318850,USM,DTC
316,VF1JL000471318850,METER,DTC
317,VF1JL000471318850,USM,PAS REPONSE UCE
318,VF1JL000471318850,BCM,DEFAUT
319,VF1JL000471318850,HFM,UCE NON CONFORME
320,VF1JL000471318850,USM,FEUX ROUTE
321,VF1JL000471318850,BCM,VERROUILLAGE PORTE
322,VF1JL000471318850,UDM,PAS REPONSE UCE
323,VF1JL000471318850,HFM,UCE NON CONFORME
324,VF1JL000471318850,METER,DTC
325,VF1JL000471318850,CDM,CALIBRATION
326,VF1JL000471318850,SONAR,DTC
327,VF1JL000471318850,BCM,CLE NON RECONNUE
328,VF1JL000471318850,BCM,PAS REPONSE UCE
329,VF1JL000471318850,CDM,DTC
330,VF1JL000471318850,TCU,DTC
331,VF1JL000471318850,SONAR,DTC
332,VF1JL000471318850,USM,LEVELIZER PAS A 0
333,VF1JL000471318850,BCM,BOUTON STOP & START
334,VF1JL000471318850,BCM,BOUTON FEUX DETRESSE
335,VF1JL000471318850,METER,RHEOSTAT ECLAIRAGE TABLEAU DE BORD
336,VF1JL000471318850,ECM,PAS REPONSE UCE
337,VF1JL000471318850,ACU,DTC
338,VF1JL000471318850,BCM,UCE NON CONFORME
339,VF1JL000471318850,ACU,CAPTEUR SIEGE PASSAGER AV
340,VF1JL000471318850,HFM,PAS REPONSE UCE
341,VF1JL000471318850,BCM,FEUX POSITION AUTO
342,VF1JL000471318850,HVAC,PAS REPONSE UCE
343,VF1JL000471318850,METER,DTC
344,VF1JL000471318850,BCM,DEFAUT
345,VF1JL000471318850,ACU,CAPTEUR CEINTURE SECURITE AV D
346,VF1JL000471318850,TPMS,CODE SSPP ROUE AV G
347,VF6T8200071321647,HVAC,DTC
348,VF1FL000871365515,UDM,ETAT REMPLISSAGE NOK
349,VF1FL000871365515,UDM,ETAT REMPLISSAGE NOK
350,VF1FL000871365515,UDM,ETAT REMPLISSAGE NOK
351,VF1FL000871365515,UDM,ETAT REMPLISSAGE NOK
352,VF1FL000871365515,UDM,ETAT REMPLISSAGE NOK
353,VF1FL000871365515,UDM,ETAT REMPLISSAGE NOK
354,VF1FL000871365515,UDM,ETAT REMPLISSAGE NOK
355,VF1FL000871365515,UDM,ETAT REMPLISSAGE NOK
356,VF1JL000471318850,BCM,APC NON VU
357,VF1JL000471318850,ECM,PAS REPONSE UCE
358,VF1FL000871365515,RADIO,TEST SPEAKER
359,VF1JL000471318850,USM,COMPRESSEUR AIR CONDITIONNE
360,VF1JL000471318850,BCM,CONSUMP REVERS LIGHT
361,VF1JL000471318850,METER,RHEOSTAT ECLAIRAGE TABLEAU DE BORD
362,VF1JL000471318850,USM,LEVELIZER PAS A 0
363,VF1JL000471318850,USM,COMPRESSEUR AIR CONDITIONNE
364,VF1JL000471318850,SONAR,PAS REPONSE UCE
365,VF1JL000471318850,USM,CAPTEUR ASSIETTE HORS PLAGE
366,VF1JL000471318850,BCM,ESSUIE-VITRE AR
367,VF1JL000471318850,ACU,PAS REPONSE UCE
368,VF1JL000471318850,BCM,TEMOIN CEINTURE SECURITE
369,VF1JL000471318850,ECM,PAS REPONSE UCE
370,VF1JL000471318850,BCM,APC NON VU
371,VF1JL000471318850,SONAR,CAMERA AR
372,VF1JL000471318850,BCM,APC NON VU
373,VF1JL000471318850,HFM,TRANSPONDEUR
374,VF1JL000471318850,HFM,TRANSPONDEUR
375,VF1JL000471318850,HFM,NOMBRE CLE APPRIS
376,VF1JL000471318850,HFM,NOMBRE CLE APPRIS
377,VF1JL000471318850,HFM,TRANSPONDEUR
378,VF1FL000871365515,BCM,PEDALE EMBRAYAGE
379,VF1FL000871365515,UDM,PAS REPONSE UCE
380,VF1FL000871365515,RADIO,DTC
381,VF1FL000871365515,BCM,DEMARRAGE INTERDIT
382,VF1FL000871365515,ABS,DTC
383,VF1FL000871365515,RADIO,DTC
384,VF1FL000871365515,ECM,PAS REPONSE UCE
385,VF1FL000871365515,ABS,ETAT REMPLISSAGE NOK
386,VF1FL000871365515,EPS,DTC
387,VF1FL000871365515,METER,CONTROLER MINI LIQUIDE FREIN
388,VF1FL000871365515,EPS,DTC
389,VF1FL000871365515,HVAC,PRESSION GAZ CLIM
390,VF1FL000871365515,METER,DTC
391,VF1FL000271320439,BCM,RETROVISEUR RABATTABLE
392,VF1FL000271320439,BCM,PORTE COFFRE
393,VF1FL000271320439,BCM,PORTE COFFRE
394,VF1FL000271320439,ACU,DTC
395,VF1FL000871365515,ECM,CALIBRATION
396,VF1FL000871365515,RADIO,TEST SPEAKER
397,VF1FL000871365515,BCM,DTC
398,VF1FL000971433109,BCM,CLIGNOTANT AR
399,VF1FL000971433109,SONAR,DTC
400,VF1FL000971433109,BCM,REPETITEUR PSG
401,VF1FL000971433109,BCM,DEFAUT
402,VF1FL000971433109,BCM,DEFAUT
403,VF1FL000971433109,BCM,ESSUIE-VITRE AV
404,VF1FL000971433109,ECM,DTC
405,VF1FL000971433109,BCM,VERROUILLAGE PORTE
406,VF1FL000971433109,BCM,DEFAUT
407,VF1FL000971433109,BCM,PORTE COFFRE
408,VF1FL000971433109,BCM,RETROVISEUR RABATTABLE
409,VF1FL000971433109,BCM,DEFAUT
410,VF1FL000971433109,BCM,DEGIVRAGE LUNETTE AR
411,VF1FL000971433109,BCM,DEFAUT
412,VF1FL000971433109,METER,DTC
413,VF1FL000971433109,BCM,VERROUILLAGE PORTE
414,VF1FL000971433109,BCM,PORTE COFFRE
415,VF1FL000971433109,BCM,DEFAUT
416,VF1FL000971433109,ECM,DTC
417,VF1FL000971433109,BCM,ESSUIE-VITRE AV
418,VF1FL000971433109,BCM,RETROVISEUR PSG
419,VF1FL000071118487,NAV,DEFAUT
420,VF1JL000771319958,RADIO,PAS REPONSE UCE
421,VF1JL000771319958,BCM,DTC
422,VF1JL000771319958,BCM,DELIVERY MODE / CUSTOMER MODE
423,VF1FL000071118487,UDM,PAS REPONSE UCE
424,VF1FL000071118487,ECM,PAS REPONSE UCE
425,VF1FL000071118487,SONAR,DTC
426,VF1FL000071118487,CDM,CALIBRATION
427,VF1FL000071118487,METER,DTC
428,VF1FL000071118487,HVAC,PRESSION GAZ CLIM
429,VF1FL000071118487,SONAR,CAMERA AR
430,VF1FL000071118487,EPS,DTC
431,VF1FL000071118487,FRCAM,CALIBRATION
432,VF1FL000071118487,NAV,CALIBRATION
433,VF1FL000071118487,TCU,DTC
434,VF1FL000071118487,METER,RHEOSTAT ECLAIRAGE TABLEAU DE BORD
435,VF1FL000071118487,USM,FEUX JOUR
436,VF1FL000071118487,FRCAM,DTC
437,VF1FL000071118487,EPS,DTC
438,VF1FL000071118487,HVAC,GMV HABITACLE
439,VF1FL000071118487,USM,CAPTEUR ASSIETTE HORS PLAGE
440,VF1FL000071118487,FRCAM,DTC
441,VF1FL000071118487,FRCAM,DTC
442,VF1FL000071118487,CDM,DTC
443,VF1FL000071118487,USM,LEVELIZER PAS A 0
444,VF1FL000071118487,BCM,ECLAIRAGE PLAFONNIER AV
445,VF1FL000071118487,BCM,ECLAIRAGE PLAFONNIER AR
446,VF1FL000071118487,BCM,ECLAIRAGE PLAFONNIER AR
447,VF1FL000071118487,HVAC,GMV HABITACLE
448,VF1FL000071118487,USM,DTC
449,VF1FL000071118487,ECM,PAS REPONSE UCE
450,VF1JL000771319958,BCM,APC NON COUPE
451,VF1FL000071118487,ECM,CALIBRATION
452,VF1FL000071118487,METER,CONFIGURATION AUTOMATIQUE
453,VF1FL000071118487,SONAR,CONFIGURATION AUTOMATIQUE
454,VF1JL000771319958,BCM,PEDALE EMBRAYAGE
455,VF1JL000771319958,ECM,PEDALE EMBRAYAGE NON RELACHE
456,VF1JL000771319958,BCM,DEMARRAGE INTERDIT
457,VF1JL000771319958,ECM,PEDALE EMBRAYAGE NON RELACHE
458,VNVF4000871390004,USM,GMV 1
459,VNVF4000871390004,USM,GMV 1
460,VNVF4000871390004,BCM,DEGIVRAGE LUNETTE AR
461,VNVF4000871390004,BCM,DEGIVRAGE LUNETTE AR
462,VNVF4000871390004,UDM,PAS REPONSE UCE
463,VNVF4000871390004,ECM,DTC
464,VNVF4000871390004,ECM,DTC
465,VNVF4000871390004,ECM,DTC
466,VNVF4000871390004,ECM,DTC
467,VNVF4000871390004,SONAR,CAMERA AR
468,VNVF4000871390004,ECM,DTC
469,VNVF4000871390004,ECM,DTC
470,VNVF4000871390004,ECM,DTC
471,VNVF4000871390004,USM,GMV 1
472,VNVF4000871390004,ECM,DTC
473,VNVF4000871390004,ECM,DTC
474,VNVF4000871390004,ECM,DTC
475,VNVF4000871390004,ECM,DTC
476,VNVF4000871390004,ECM,DTC
477,VNVF4000871390004,SONAR,CAMERA AR
478,VNVF4000871390004,USM,GMV 1
479,VNVF4000871390004,ECM,DTC
480,VNVF4000871390004,ECM,DTC
481,VNVF4000871390004,BCM,DEGIVRAGE LUNETTE AR
482,VNVF4000871390004,BCM,CONSUMP REVERS LIGHT
483,VNVF4000871390004,UDM,PAS REPONSE UCE
484,VF1JL000371433004,TPMS,PRESSION ROUE AV D
485,VF1JL000371433004,TPMS,PRESSION ROUE AV G
486,VF1JL000371433004,TPMS,PRESSION ROUE AR D
487,VF1JL000371433004,TPMS,PRESSION ROUE AR G
488,VF1JL000371433004,ECM,RESET DTC
489,VF1JL000371433004,HFM,DTC
490,VF1JL000371433004,ECM,ETAT PROTEGE 5
491,VF1JL000371433004,ECM,ECRITURE VIN
492,VF1JL000371433004,HFM,NOMBRE CLE APPRIS
493,VF1JL000371433004,BCM,CLE NON RECONNUE
494,VF1JL000371433004,HFM,DEFAUT
495,VF1JL000371433004,BCM,BADGE NON PRESENT
496,VF1JL000371433004,HFM,DEFAUT
497,VF1FL000870837847,HFM,VIN CLE
498,VF1JL000371433004,HFM,DTC
499,VF1JL000371433004,HFM,DTC
500,VF1FL000670961552,USM,PAS REPONSE UCE
501,VF1FL000670961552,USM,CAPTEUR CAPOT
502,VF1FL000670961552,ECM,DTC
503,VF1FL000670961552,USM,GMV 1
504,VF1FL000670961552,ECM,DTC
505,VF1FL000670961552,ECM,DTC
506,VF1FL000670961552,USM,PAS REPONSE UCE
507,VF1FL000670961552,ECM,DTC
508,VF1FL000670961552,USM,FEUX PLAQUE POLICE
509,VF1FL000670961552,USM,FEUX JOUR
510,VF1FL000670961552,ECM,DTC
